row_id,Time,Pass_Fail,Pass_Fail_Label,dataset_split,model_used,fail_probability,prediction_threshold,predicted_class,model_prediction,feature_059,feature_247,feature_487,feature_112,feature_385,feature_425,feature_486,feature_028,feature_019,feature_021,feature_040,feature_480,feature_160,feature_017,feature_510,feature_519,feature_152,feature_563,feature_130,feature_460,feature_202,feature_430,feature_123,feature_469,feature_468,feature_290,feature_280,feature_167,feature_225,feature_344
0,2008-07-19 11:55:00,0,Pass,train,RandomForest_SMOTE,0.20603361684300198,0.5,0,Pass,-1.7264,,0.0,,,4.7141,843.1138,64.2333,12.519,-5419.0,61.29,115.7408,967.0,0.968,64.6707,,0.4734,,0.7243,29.9394,4.04,18.7673,15.94,5.7277,311.6377,0.1077,0.0197,0.9,1940.3994,31.8843
1,2008-07-19 12:32:00,0,Pass,test,RandomForest_SMOTE,0.2800437630563297,0.5,0,Pass,0.8073,,820.79,,,6.1188,130.635,68.4222,12.4608,-5441.5,78.25,163.0249,59.0,0.9701,141.4365,,0.5666,,0.8122,40.4475,3.659,10.4383,15.91,5.5652,463.2883,0.1,0.0171,1.1,1988.0,41.708
2,2008-07-19 13:17:00,1,Fail,train,RandomForest_SMOTE,0.8630362604655238,0.5,1,Fail,23.8245,0.1729,74.0741,0.4684,0.0221,5.2707,746.915,67.1333,12.5404,-5447.75,14.37,93.9245,788.0,0.9674,240.7767,36.9067,0.4909,0.9032,0.8194,32.3594,11.059,10.3162,15.94,5.4178,21.3645,0.1185,0.0152,1.4,839.6006,24.7959
3,2008-07-19 14:43:00,0,Pass,train,RandomForest_SMOTE,0.2517913047047746,0.5,0,Pass,24.3791,0.0191,71.7583,0.4647,0.0038,13.442,104.666,62.9333,12.4782,-5468.25,76.9,149.4399,355.0,0.9687,113.5593,4.12,1.3029,0.6511,0.7244,27.6824,11.382,15.7089,15.61,6.5291,24.2831,0.0916,0.0115,0.9,820.3999,29.0339
4,2008-07-19 15:22:00,0,Pass,train,RandomForest_SMOTE,0.22762410994080273,0.5,0,Pass,-12.2945,,587.3773,,,4.2892,0.0,62.8333,12.4735,-5476.25,76.39,140.1953,283.0,0.9735,148.0663,,0.4434,,0.778,30.8924,8.446,12.7642,15.73,4.4384,44.898,0.1275,0.0116,0.8,1406.4004,32.0537
5,2008-07-19 17:53:00,0,Pass,train,RandomForest_SMOTE,0.34205086997326734,0.5,0,Pass,28.2955,0.0217,78.3348,0.4651,0.0058,6.0186,0.0,62.3778,12.4935,-6058.0,59.94,159.0889,910.0,0.9747,68.7351,4.6687,0.5564,0.8444,0.8122,42.8261,9.679,34.4833,15.91,6.7233,23.3606,0.1275,0.0155,0.9,1132.2998,33.4938
6,2008-07-19 19:44:00,0,Pass,train,RandomForest_SMOTE,0.26288527835951575,0.5,0,Pass,2.1109,,0.0,,,4.1364,586.3636,60.8,12.4608,-6154.0,74.46,136.9466,643.0,0.9667,159.5238,,0.4136,,0.7589,23.6929,4.58,34.4004,15.89,4.9878,162.4892,0.1,0.024,0.6,1046.2002,36.0395
7,2008-07-19 19:45:00,0,Pass,train,RandomForest_SMOTE,0.2606064975849409,0.5,0,Pass,29.1309,0.0643,129.2388,0.465,0.009,13.525,0.0,67.3,12.5263,-5395.5,78.09,128.9887,346.0,0.9687,79.1209,13.823,1.3097,0.5652,0.7863,8.9488,4.496,4.3184,15.86,6.8585,16.2027,0.1286,0.0166,1.1,1222.1006,22.1485
8,2008-07-19 20:24:00,0,Pass,train,RandomForest_SMOTE,0.4065119251865175,0.5,0,Pass,26.9791,0.0306,86.1931,0.4642,0.0056,14.3147,616.8421,62.8,12.5263,-4196.5,61.1,121.9301,2900.0,0.9693,138.5827,6.5964,1.3892,0.6286,0.7863,37.6287,6.867000000000001,137.7577,15.86,5.2798,18.8665,0.1286,0.0159,0.6,740.3994,30.9028
9,2008-07-19 21:35:00,0,Pass,test,RandomForest_SMOTE,0.35583945949117257,0.5,0,Pass,28.3118,0.0368,119.3208,0.4604,0.0069999999999999,12.9464,497.603,67.0333,12.5263,-5357.5,78.09,167.7256,882.0,0.9667,86.0068,7.9931,1.2564,0.6154,0.7863,22.155,5.58,16.0896,15.86,4.07,21.8283,0.1286,0.0159,0.8,1266.0,37.0311
10,2008-07-19 21:57:00,1,Fail,train,RandomForest_SMOTE,0.825144839589403,0.5,1,Fail,27.8373,0.0579999999999999,97.2892,0.4608,0.0092,4.1698,0.0,68.7111,12.4663,-2727.5,14.37,105.3338,2942.0,0.9664,87.1111,12.5838,0.4291,0.7929,0.778,30.2973,6.706,207.3327,15.73,5.5003,14.6207,0.1243,0.0113,1.0,1104.5,36.4186
11,2008-07-19 22:52:00,1,Fail,test,RandomForest_SMOTE,0.38245431747780434,0.5,0,Pass,25.0836,0.0458,0.0,0.4727,0.0097,4.4827,0.0,64.7667,12.5263,-6097.75,61.1,115.6431,597.0,0.9673,67.9406,9.6888,0.4533,0.6575,0.8038,34.1207,6.722,38.5716,15.89,5.7185,8.2922,0.1286,0.0217,0.9,740.5996,24.8109
12,2008-07-20 03:35:00,0,Pass,train,RandomForest_SMOTE,0.32014883760538,0.5,0,Pass,22.6227,0.0317,76.2956,0.4615,0.0059,6.1204,0.0,63.3778,12.4186,-5521.25,76.9,142.6991,302.0,0.9666,94.8247,6.8582,0.5815,,0.7589,30.9721,11.537,17.5866,15.89,6.0129,31.4286,0.1046,0.0211,0.9,1541.7002,35.1524
13,2008-07-21 08:21:00,0,Pass,train,RandomForest_SMOTE,0.14908432658652887,0.5,0,Pass,-1.1927,,466.6667,,,3.3751,221.0019,67.9889,10.7029,-6069.75,78.11,34.984,648.0,0.9516,55.0265,,0.3514,0.8138,0.7661,34.3904,3.394,39.7545,15.81,5.5658,299.314,4.4163,0.0205,1.0,846.5996,11.0018
14,2008-07-21 11:53:00,1,Fail,train,RandomForest_SMOTE,0.7829813393295311,0.5,1,Fail,17.6382,0.1785,81.9411,0.4564,0.0336,8.2173,152.356,62.5,12.4582,-1431.5,74.57,84.8485,2478.0,0.9692,125.5385,39.1058,0.8038,,0.7661,24.2101,6.281000000000001,400.0,15.81,4.3078,22.1678,0.1291,0.0244,1.0,959.7998,18.924
15,2008-07-22 00:03:00,0,Pass,train,RandomForest_SMOTE,0.3175729731066699,0.5,0,Pass,20.4209,0.0706,41.2447,0.4691,0.0153,6.7005,128.0311,61.2333,12.4622,-2694.75,74.57,57.0709,3530.0,0.9706,263.4538,15.0519,0.6427,,0.7446,21.2039,5.77,215.3447,15.85,4.0537,15.1805,0.1111,0.0282,0.9,1388.2002,22.4095
16,2008-07-22 02:59:00,0,Pass,train,RandomForest_SMOTE,0.22338389805458575,0.5,0,Pass,-8.1182,,278.5714,,,4.2581,198.3728,63.3556,12.4761,-5757.25,73.95,122.7329,199.0,0.9673,68.5315,,0.3917,0.5828,0.7446,19.4794,4.938,10.439,15.85,3.4592,31.9037,0.1326,0.0173,1.1,606.2998,30.8301
17,2008-07-22 08:41:00,0,Pass,test,RandomForest_SMOTE,0.21535352268660166,0.5,0,Pass,-5.5327,,0.0,,,4.8332,66.9031,60.2444,12.4761,-5612.5,74.04,61.9065,346.0,0.9692,89.7338,,0.455,0.5825,0.7446,21.098000000000003,5.041,29.4521,15.85,4.5814,88.5639,0.1326,0.0167,1.0,1253.3994,20.1499
18,2008-07-22 11:47:00,0,Pass,test,RandomForest_SMOTE,0.24198775612646226,0.5,0,Pass,0.4836,,0.0,,,4.1254,303.9679,66.2,12.5222,-5575.25,4.138,73.8022,644.0,0.9701,102.9126,,0.4062,0.5564,0.7785,20.4401,6.797000000000001,18.5821,15.87,5.5904,0.0,0.1246,0.0151,1.2,765.2998,23.8837
19,2008-07-22 14:00:00,0,Pass,train,RandomForest_SMOTE,0.34814259996508856,0.5,0,Pass,22.4736,0.0283,74.1012,0.4675,0.0057,3.1952,120.5836,65.0778,12.5635,-5469.25,76.9,153.1789,380.0,0.9697,349.2063,6.0454,0.3257,,0.7785,23.213,7.851,16.5653,15.87,6.8351,27.8104,0.1048,0.0115,1.4,1386.9004,55.7952
20,2008-07-22 15:30:00,0,Pass,train,RandomForest_SMOTE,0.2608802667176926,0.5,0,Pass,3.97,,630.9059,,,4.583,212.3607,67.2,12.4761,-5441.0,1.4340000000000002,50.773,339.0,0.9661,87.8049,,0.4476,0.5826,0.7785,22.8688,5.174,4.172,15.87,6.7704,112.3426,0.1326,0.0136,1.1,453.9004,17.7174
21,2008-07-23 05:15:00,0,Pass,train,RandomForest_SMOTE,0.24107971007346501,0.5,0,Pass,0.12,,312.1693,,,3.3881,0.0,65.1667,12.4761,-5434.0,4.198,72.5998,429.0,0.9684,64.3929,,0.3507,0.5702,0.7785,31.3987,6.534,18.4211,15.87,5.4799,0.0,0.1326,0.0102,0.9,629.9004,23.1475
22,2008-07-23 19:22:00,0,Pass,train,RandomForest_SMOTE,0.2668332734468717,0.5,0,Pass,-3.6564,,62.087,,,2.6793,155.70600000000002,66.3556,12.4761,-5310.25,5.988,86.4379,385.0,0.9706,42.9066,,0.2777,0.5963,0.7777,38.7618,8.242,12.5794,15.91,4.5359,158.901,0.1326,0.0138,0.9,361.5996,27.4602
