threshold,recall,precision,f1,false_positives,false_negatives,true_positives,true_negatives
0.05,0.42857142857142855,0.11842105263157894,0.18556701030927836,67,12,9,226
0.1,0.23809523809523808,0.09259259259259259,0.13333333333333333,49,16,5,244
0.15,0.19047619047619047,0.10256410256410256,0.13333333333333333,35,17,4,258
0.2,0.14285714285714285,0.1,0.11764705882352941,27,18,3,266
0.25,0.14285714285714285,0.12,0.13043478260869565,22,18,3,271
0.3,0.14285714285714285,0.15789473684210525,0.15,16,18,3,277
0.35,0.14285714285714285,0.1875,0.16216216216216217,13,18,3,280
0.4,0.14285714285714285,0.2,0.16666666666666666,12,18,3,281
0.45,0.14285714285714285,0.21428571428571427,0.17142857142857143,11,18,3,282
0.5,0.14285714285714285,0.2727272727272727,0.1875,8,18,3,285
0.55,0.14285714285714285,0.375,0.20689655172413793,5,18,3,288
0.6,0.09523809523809523,0.2857142857142857,0.14285714285714285,5,19,2,288
0.65,0.09523809523809523,0.2857142857142857,0.14285714285714285,5,19,2,288
0.7,0.09523809523809523,0.2857142857142857,0.14285714285714285,5,19,2,288
0.75,0.047619047619047616,0.2,0.07692307692307693,4,20,1,289
0.8,0.047619047619047616,0.2,0.07692307692307693,4,20,1,289
0.85,0.047619047619047616,0.2,0.07692307692307693,4,20,1,289
0.9,0.0,0.0,0.0,3,21,0,290
0.95,0.0,0.0,0.0,2,21,0,291
