threshold,recall,precision,f1,false_positives,false_negatives,true_positives,true_negatives
0.05,1.0,0.0673076923076923,0.12612612612612611,291,0,21,2
0.1,1.0,0.07777777777777778,0.14432989690721648,249,0,21,44
0.15,0.9047619047619048,0.0979381443298969,0.17674418604651163,175,2,19,118
0.2,0.6666666666666666,0.12389380530973451,0.208955223880597,99,7,14,194
0.25,0.5714285714285714,0.2222222222222222,0.32,42,9,12,251
0.3,0.38095238095238093,0.2857142857142857,0.32653061224489793,20,13,8,273
0.35,0.14285714285714285,0.25,0.18181818181818182,9,18,3,284
0.4,0.047619047619047616,0.16666666666666666,0.07407407407407407,5,20,1,288
0.45,0.047619047619047616,0.5,0.08695652173913043,1,20,1,292
0.5,0.0,0.0,0.0,1,21,0,292
0.55,0.0,0.0,0.0,0,21,0,293
0.6,0.0,0.0,0.0,0,21,0,293
0.65,0.0,0.0,0.0,0,21,0,293
0.7,0.0,0.0,0.0,0,21,0,293
0.75,0.0,0.0,0.0,0,21,0,293
0.8,0.0,0.0,0.0,0,21,0,293
0.85,0.0,0.0,0.0,0,21,0,293
0.9,0.0,0.0,0.0,0,21,0,293
0.95,0.0,0.0,0.0,0,21,0,293
