threshold,recall,precision,f1,false_positives,false_negatives,true_positives,true_negatives
0.05,1.0,0.0670926517571885,0.12574850299401197,292,0,21,1
0.1,1.0,0.07167235494880546,0.1337579617834395,272,0,21,21
0.15,1.0,0.08571428571428572,0.15789473684210525,224,0,21,69
0.2,0.9047619047619048,0.10734463276836158,0.1919191919191919,158,2,19,135
0.25,0.8571428571428571,0.14754098360655737,0.2517482517482518,104,3,18,189
0.3,0.8095238095238095,0.20987654320987653,0.3333333333333333,64,4,17,229
0.35,0.6190476190476191,0.2826086956521739,0.3880597014925373,33,8,13,260
0.4,0.23809523809523808,0.17857142857142858,0.20408163265306123,23,16,5,270
0.45,0.19047619047619047,0.26666666666666666,0.2222222222222222,11,17,4,282
0.5,0.047619047619047616,0.16666666666666666,0.07407407407407407,5,20,1,288
0.55,0.0,0.0,0.0,2,21,0,291
0.6,0.0,0.0,0.0,0,21,0,293
0.65,0.0,0.0,0.0,0,21,0,293
0.7,0.0,0.0,0.0,0,21,0,293
0.75,0.0,0.0,0.0,0,21,0,293
0.8,0.0,0.0,0.0,0,21,0,293
0.85,0.0,0.0,0.0,0,21,0,293
0.9,0.0,0.0,0.0,0,21,0,293
0.95,0.0,0.0,0.0,0,21,0,293
