threshold,recall,precision,f1,false_positives,false_negatives,true_positives,true_negatives
0.05,0.3333333333333333,0.21212121212121213,0.25925925925925924,26,14,7,267
0.1,0.23809523809523808,0.35714285714285715,0.2857142857142857,9,16,5,284
0.15,0.09523809523809523,0.2857142857142857,0.14285714285714285,5,19,2,288
0.2,0.047619047619047616,0.16666666666666666,0.07407407407407407,5,20,1,288
0.25,0.0,0.0,0.0,4,21,0,289
0.3,0.0,0.0,0.0,4,21,0,289
0.35,0.0,0.0,0.0,3,21,0,290
0.4,0.0,0.0,0.0,3,21,0,290
0.45,0.0,0.0,0.0,3,21,0,290
0.5,0.0,0.0,0.0,3,21,0,290
0.55,0.0,0.0,0.0,2,21,0,291
0.6,0.0,0.0,0.0,2,21,0,291
0.65,0.0,0.0,0.0,2,21,0,291
0.7,0.0,0.0,0.0,0,21,0,293
0.75,0.0,0.0,0.0,0,21,0,293
0.8,0.0,0.0,0.0,0,21,0,293
0.85,0.0,0.0,0.0,0,21,0,293
0.9,0.0,0.0,0.0,0,21,0,293
0.95,0.0,0.0,0.0,0,21,0,293
